rung,task_count,query_count,query_coverage,highest_held_out_accuracy,mean_held_out_accuracy,winning_task,support_maximum,support_mean,accepted_outcomes,failures,admissions,seconds,summary
1,2,2,1.0000,1.0000,1.0000,xor,1.0000,1.0000,0,2,2,46.6490,"Rung 1 covered 2/2 held-out queries (mean 1.0000, best 1.0000); the mean support-to-query gap was 0.0000, with 2 failure(s)."
2,2,2,1.0000,1.0000,0.7308,parity.n8.b3,1.0000,1.0000,0,2,3,62.6880,"Rung 2 covered 2/2 held-out queries (mean 0.7308, best 1.0000); the mean support-to-query gap was 0.2692, with 2 failure(s)."
3,2,2,1.0000,0.4688,0.4688,two_spirals,0.5670,0.5644,0,2,2,66.9090,"Rung 3 covered 2/2 held-out queries (mean 0.4688, best 0.4688); the mean support-to-query gap was 0.0957, with 2 failure(s)."
4,2,2,1.0000,1.0000,1.0000,pole.b13,1.0000,1.0000,0,2,1,49.7240,"Rung 4 covered 2/2 held-out queries (mean 1.0000, best 1.0000); the mean support-to-query gap was 0.0000, with 2 failure(s)."
5,2,2,1.0000,1.0000,1.0000,double_pole.b32,1.0000,1.0000,0,2,1,26.5760,"Rung 5 covered 2/2 held-out queries (mean 1.0000, best 1.0000); the mean support-to-query gap was 0.0000, with 2 failure(s)."
6,2,2,1.0000,0.5000,0.5000,mnist.b292,1.0000,1.0000,2,0,2,7.9110,"Rung 6 covered 2/2 held-out queries (mean 0.5000, best 0.5000); the mean support-to-query gap was 0.5000, with 0 failure(s)."
7,2,2,1.0000,0.1000,0.1000,cifar100.b26,0.9500,0.8469,0,2,0,681.7710,"Rung 7 covered 2/2 held-out queries (mean 0.1000, best 0.1000); the mean support-to-query gap was 0.7469, with 2 failure(s)."
8,2,2,1.0000,0.6154,0.5000,ecg.b1285,1.0000,0.9902,0,2,0,680.6720,"Rung 8 covered 2/2 held-out queries (mean 0.5000, best 0.6154); the mean support-to-query gap was 0.4902, with 2 failure(s)."
9,2,2,1.0000,1.0000,0.8462,satellite.b14767,1.0000,0.9706,1,1,1,349.6280,"Rung 9 covered 2/2 held-out queries (mean 0.8462, best 1.0000); the mean support-to-query gap was 0.1244, with 1 failure(s)."
10,2,2,1.0000,0.8462,0.6538,ninapro.b2,1.0000,1.0000,1,1,1,187.1800,"Rung 10 covered 2/2 held-out queries (mean 0.6538, best 0.8462); the mean support-to-query gap was 0.3462, with 1 failure(s)."
11,2,2,1.0000,0.0000,0.0000,spherical.b639,1.0000,0.6863,0,2,0,683.1390,"Rung 11 covered 2/2 held-out queries (mean 0.0000, best 0.0000); the mean support-to-query gap was 0.6863, with 2 failure(s)."
12,2,2,1.0000,0.9965,0.9945,cosmic.b201,0.9963,0.9941,2,0,1,421.8640,"Rung 12 covered 2/2 held-out queries (mean 0.9945, best 0.9965); the mean support-to-query gap was -0.0004, with 0 failure(s)."
13,2,2,1.0000,0.6745,0.6644,darcy_flow.b14,0.7010,0.6861,0,2,0,680.5000,"Rung 13 covered 2/2 held-out queries (mean 0.6644, best 0.6745); the mean support-to-query gap was 0.0217, with 2 failure(s)."
14,2,2,1.0000,0.5006,0.4708,psicov.b22,0.8623,0.8106,0,2,0,681.0300,"Rung 14 covered 2/2 held-out queries (mean 0.4708, best 0.5006); the mean support-to-query gap was 0.3398, with 2 failure(s)."
15,2,2,1.0000,0.9842,0.9837,fsd50k.b7177,0.9885,0.9857,2,0,2,47.3480,"Rung 15 covered 2/2 held-out queries (mean 0.9837, best 0.9842); the mean support-to-query gap was 0.0020, with 0 failure(s)."
16,2,2,1.0000,0.8825,0.8355,deepsea.b41,0.9684,0.9412,0,2,1,680.5100,"Rung 16 covered 2/2 held-out queries (mean 0.8355, best 0.8825); the mean support-to-query gap was 0.1057, with 2 failure(s)."
17,2,2,1.0000,0.3077,0.2308,pgm.train.b8877,0.7451,0.4902,0,2,0,982.6990,"Rung 17 covered 2/2 held-out queries (mean 0.2308, best 0.3077); the mean support-to-query gap was 0.2594, with 2 failure(s)."
18,2,2,1.0000,0.8182,0.6695,arc.test.9bebae7a,1.0000,1.0000,0,2,2,365.9950,"Rung 18 covered 2/2 held-out queries (mean 0.6695, best 0.8182); the mean support-to-query gap was 0.3305, with 2 failure(s)."
